area_name,zipcode,,,
Albany Park,60625,,,
Altgeld Gardens,60827,,,
Andersonville,60640,,,
Arcadia Terrace,60659,,,
Archer Heights,60632,,,
Ashburn,"60652, 60629",,,
Austin,"60644, 60639, 60651, 60707",,,
Avalon Park,60619,,,
Avondale,60618,,,
Back of the Yards,60609,,,
Belmont Central,"60634, 60739",,,
Belmont Gardens,"60641, 60739",,,
Belmont Heights,60634,,,
Belmont Terrace,60634,,,
Beverly,"60620, 60643",,,
Beverly View,60620,,,
Beverly Woods,60655,,,
Big Oaks,60656,,,
Bohemian National Cemetery,60630,,,
Bowmanville,"60640, 60625",,,
Brainerd,60620,,,
Bridgeport,"60609, 60616, 60608",,,
Brighton Park,60632,,,
Bronzeville,"60616, 60609, 60653, 60615",,,
Bucktown,"60622, 60647, 60614",,,
Budlong Woods,60625,,,
Buena Park,"60613, 60640",,,
Burnside,60619,,,
Cabrini Green,60610,,,
Calumet Heights,"60619, 60617",,,
Chatham,60619,,,
Chicago Lawn,60629,,,
Chinatown,60616,,,
Clearing,60638,,,
Cottage Grove Heights,60628,,,
Craigin,"60641, 60739",,,
Dearborn Park,60605,,,
DePaul,60614,,,
Douglas,"60616, 60605",,,
Douglas Park,60608,,,
Dunning,60634,,,
East Chicago,60617,,,
East Garfield Park,"60624, 60612",,,
East Rogers Park,60626,,,
East Village,60622,,,
Edgebrook,60646,,,
Edgewater,"60660, 60640",,,
Edison Park,60631,,,
Englewood,"60636, 60621",,,
Fifth City,60624,,,
Ford City,"60629, 60652",,,
Forest Glen,60630,,,
Fuller Park,60609,,,
Fulton River District,"60622, 60610, 60661, 60606",,,
Gage Park,"60632, 60609, 60629",,,
Galewood,"60707, 60739",,,
Garfield Ridge,60638,,,
Gold Coast,"60610, 60611",,,
Goose Island,"60622, 60610",,,
Graceland Cemetery,60613,,,
Graceland West,60613,,,
Greater Grand Crossing,"60637, 60619",,,
Gresham,60620,,,
Hanson Park,60739,,,
Hegewisch,60633,,,
Hermosa,60739,,,
Hollywood Park,60659,,,
Homan Square,60624,,,
Humboldt Park,"60622, 60647, 60651",,,
Hyde Park,"60615, 60637",,,
Industrial Corridor,"60647, 60614, 60622, 60610, 60618",,,
Irving Park,60618,,,
Irving Woods,60634,,,
Jackson Park Highlands,60649,,,
Jefferson Park,"60630, 60646",,,
Jeffery Manor,60617,,,
Kelvyn Park,"60641, 60739",,,
Kennedy Park,60655,,,
Kilbourn Park,60641,,,
Lakeview,"60613, 60657",,,
Lakeview East,"60613, 60657",,,
Lakewood Balmoral,60640,,,
Lathrop,"60647, 60614",,,
Lawndale,"60644, 60624, 60623, 60608, 60612",,,
LeClaire Courts,60638,,,
Lincoln Park,"60614, 60622, 60610",,,
Lincoln Square,60625,,,
Little Village,"60623, 60608",,,
Logan Square,"60618, 60647",,,
Longwood Manor,"60643, 60628",,,
Margate Park,60640,,,
Marquette Park,60629,,,
Marycrest,60652,,,
Marynook,60619,,,
Mayfair,60630,,,
McKinley Park,"60609, 60608",,,
Medical District,"60612, 60608",,,
Midway,60638,,,
Montclare,"60634, 60707",,,
Morgan Park,60643,,,
Mount Greenwood,60655,,,
Near North Side,"60610, 60611",,,
Near South Side,60616,,,
New East Side,60601,,,
Noble Square,60622,,,
North Austin,"60739, 60651",,,
North Center,"60618, 60613",,,
North Kenwood,60653,,,
North Mayfair,60630,,,
North Park,60625,,,
Norwood Park,60631,,,
O'Hare,60656,,,
Oakland,60653,,,
Old Irving Park,60641,,,
Old Norwood Park,60631,,,
Old Town,60610,,,
Old Town Triangle,60614,,,
Oriole Park,60656,,,
Park Manor,"60619, 60637, 60621",,,
Parkview,60652,,,
Peterson Park,60659,,,
Peterson Park Grounds,60646,,,
Peterson Woods,60659,,,
Pill Hill,60617,,,
Pilsen,"60608, 60616",,,
Portage Park,"60641, 60634",,,
Prairie District,60616,,,
Princeton Park,60620,,,
Printers Row,60605,,,
Pullman,60628,,,
Ravenswood,"60625, 60640, 60613",,,
Ravenswood Gardens,60625,,,
Ravenswood Manor,60625,,,
River North,"60610, 60611, 60601, 60654",,,
River West,"60610, 60622",,,
Roscoe Village,"60618, 60657",,,
Rosehill Cemetery,60625,,,
Roseland,60628,,,
Rosemoor,60628,,,
Sauganash,"60646, 60630",,,
Schorsch Forest View,60656,,,
Schorsch Village,60634,,,
Scottsdale,60652,,,
Sheridan Park,60640,,,
Sleepy Hollow,60632,,,
South Austin,"60644, 60651",,,
South Chicago,60617,,,
South Deering,60617,,,
South Edgebrook,60646,,,
South Loop,"60607, 60605, 60604, 60616",,,
South Shore,60649,,,
St Bens,60618,,,
Stony Island Park,60617,,,
Streeterville,60611,,,
The Gap,60616,,,
The Loop,"60661, 60606, 60607, 60605, 60604, 60603, 60602, 60601",,,
Tri Taylor,60612,,,
Ukrainian Village,"60612, 60622",,,
Union Ridge,60656,,,
United Center Park,"60612, 60622",,,
University Village,"60607, 60608",,,
Uptown,60640,,,
Vittum Park,60638,,,
Washington Heights,60643,,,
Washington Park,"60609, 60615, 60637",,,
West Beverly,60655,,,
West Chatham,60620,,,
West Chesterfield,60619,,,
West Elsdon,"60632, 60629",,,
West Englewood,60636,,,
West Garfield Park,"60644, 60624",,,
West Humboldt Park,60651,,,
West Lakeview,"60657, 60618",,,
West Lawn,60629,,,
West Loop,"60607, 60661",,,
West Morgan Park,60655,,,
West Pullman,"60628, 60643",,,
West Ridge,"60645, 60659, 60660",,,
West Rogers Park,"60645, 60659, 60660",,,
Wicker Park,60622,,,
Wildwood,60646,,,
Woodlawn,"60637, 60649",,,
Wrightwood,60652,,,
Wrigleyville,60613,,,